0:0:0:0:0:0:0:1 - - [25/Feb/2020:01:03:47 -0500] GET /publisher/site/public/fonts/iconfont/material-icons.css HTTP/1.1 200 970 https://localhost:9443/publisher/apis Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.116 Safari/537.36 0.003
0:0:0:0:0:0:0:1 - - [25/Feb/2020:01:03:47 -0500] GET /api/am/publisher/v1.0/settings HTTP/1.1 200 726 https://localhost:9443/publisher/apis Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.116 Safari/537.36 0.189
0:0:0:0:0:0:0:1 - - [25/Feb/2020:01:03:47 -0500] GET /publisher/site/public/locales/es.json HTTP/1.1 404 - https://localhost:9443/publisher/apis Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.116 Safari/537.36 0.003
0:0:0:0:0:0:0:1 - - [25/Feb/2020:01:03:47 -0500] GET /publisher/site/public/images/_favicon.ico HTTP/1.1 200 1150 https://localhost:9443/publisher/apis Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.116 Safari/537.36 0.002
127.0.0.1 - - [25/Feb/2020:01:03:47 -0500] GET /oauth2/userinfo HTTP/1.1 200 15 - Jakarta Commons-HttpClient/3.1 0.004
127.0.0.1 - - [25/Feb/2020:01:03:47 -0500] POST /oauth2/introspect HTTP/1.1 200 707 - Jakarta Commons-HttpClient/3.1 0.029
0:0:0:0:0:0:0:1 - - [25/Feb/2020:01:03:47 -0500] GET /publisher/services/auth/introspect HTTP/1.1 200 730 https://localhost:9443/publisher/apis Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.116 Safari/537.36 0.170
0:0:0:0:0:0:0:1 - - [25/Feb/2020:01:03:47 -0500] GET /api/am/publisher/v1.0/swagger.yaml HTTP/1.1 200 394752 https://localhost:9443/publisher/apis Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.116 Safari/537.36 0.022
0:0:0:0:0:0:0:1 - - [25/Feb/2020:01:03:49 -0500] GET /api/am/publisher/v1.0/settings HTTP/1.1 200 1011 https://localhost:9443/publisher/apis Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.116 Safari/537.36 0.212
0:0:0:0:0:0:0:1 - - [25/Feb/2020:01:03:49 -0500] GET /publisher/site/public/images/logo.svg HTTP/1.1 200 18050 https://localhost:9443/publisher/apis Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.116 Safari/537.36 0.004
0:0:0:0:0:0:0:1 - - [25/Feb/2020:01:03:49 -0500] GET /publisher/site/public/fonts/Open_Sans/mem8YaGs126MiZpBA-UFVZ0bf8pkAg.woff2 HTTP/1.1 200 8892 https://localhost:9443/publisher/site/public/css/main.css Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.116 Safari/537.36 0.005
0:0:0:0:0:0:0:1 - - [25/Feb/2020:01:03:49 -0500] GET /publisher/site/public/fonts/iconfont/MaterialIcons-Regular.woff2 HTTP/1.1 200 60840 https://localhost:9443/publisher/site/public/fonts/iconfont/material-icons.css Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.116 Safari/537.36 0.008
0:0:0:0:0:0:0:1 - - [25/Feb/2020:01:03:51 -0500] GET /api/am/publisher/v1.0/apis?limit=10&offset=0 HTTP/1.1 200 1160 https://localhost:9443/publisher/apis Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.116 Safari/537.36 1.770
0:0:0:0:0:0:0:1 - - [25/Feb/2020:01:03:51 -0500] GET /api/am/publisher/v1.0/apis/304ad494-308a-479b-ae7a-5ac64beffe60/thumbnail HTTP/1.1 204 - https://localhost:9443/publisher/apis Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.116 Safari/537.36 0.045
0:0:0:0:0:0:0:1 - - [25/Feb/2020:01:03:51 -0500] GET /api/am/publisher/v1.0/apis/2a3811af-0ada-4c74-ac63-c65d42cf82ca/thumbnail HTTP/1.1 204 - https://localhost:9443/publisher/apis Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.116 Safari/537.36 0.064
0:0:0:0:0:0:0:1 - - [25/Feb/2020:01:03:51 -0500] GET /api/am/publisher/v1.0/apis/cc689bc4-e79b-4af0-b018-3e5e86fb743a/thumbnail HTTP/1.1 204 - https://localhost:9443/publisher/apis Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.116 Safari/537.36 0.066
0:0:0:0:0:0:0:1 - - [25/Feb/2020:01:03:51 -0500] GET /api/am/publisher/v1.0/apis/bacd087f-16bd-439b-ab64-d3077a078910/thumbnail HTTP/1.1 204 - https://localhost:9443/publisher/apis Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.116 Safari/537.36 0.029
0:0:0:0:0:0:0:1 - - [25/Feb/2020:01:04:00 -0500] GET /publisher HTTP/1.1 302 - - Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.116 Safari/537.36 0.000
0:0:0:0:0:0:0:1 - - [25/Feb/2020:01:04:00 -0500] GET /publisher/ HTTP/1.1 200 1863 - Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.116 Safari/537.36 0.008
0:0:0:0:0:0:0:1 - - [25/Feb/2020:01:04:00 -0500] GET /publisher/site/public/css/main.css HTTP/1.1 200 1119 https://localhost:9443/publisher/ Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.116 Safari/537.36 0.006
0:0:0:0:0:0:0:1 - - [25/Feb/2020:01:04:00 -0500] GET /publisher/site/public/css/draftjs.css HTTP/1.1 200 2643 https://localhost:9443/publisher/ Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.116 Safari/537.36 0.005
0:0:0:0:0:0:0:1 - - [25/Feb/2020:01:04:00 -0500] GET /publisher/site/public/theme/defaultTheme.js HTTP/1.1 200 1666 https://localhost:9443/publisher/ Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.116 Safari/537.36 0.003
0:0:0:0:0:0:0:1 - - [25/Feb/2020:01:04:00 -0500] GET /publisher/site/public/fonts/iconfont/MaterialIcons.js HTTP/1.1 200 6703 https://localhost:9443/publisher/ Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.116 Safari/537.36 0.017
0:0:0:0:0:0:0:1 - - [25/Feb/2020:01:04:00 -0500] GET /publisher/site/public/fonts/iconfont/material-icons.css HTTP/1.1 200 970 https://localhost:9443/publisher/ Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.116 Safari/537.36 0.005
