127.0.0.1 - - [23/Feb/2020:01:33:36 -0500] GET /throttle/data/v1/revokedjwt HTTP/1.1 200 12 - - 5.614
127.0.0.1 - - [23/Feb/2020:01:33:36 -0500] GET /throttle/data/v1/block HTTP/1.1 200 68 - - 5.613
127.0.0.1 - - [23/Feb/2020:01:33:36 -0500] GET /throttle/data/v1/keyTemplates HTTP/1.1 200 12 - - 5.613
0:0:0:0:0:0:0:1 - - [23/Feb/2020:01:34:29 -0500] GET /carbon/admin/images/issue-tracker.gif HTTP/1.1 200 1821 https://localhost:9443/carbon/admin/login.jsp Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.116 Safari/537.36 0.003
0:0:0:0:0:0:0:1 - - [23/Feb/2020:01:34:29 -0500] GET /carbon/admin/images/mailing-list.gif HTTP/1.1 200 2131 https://localhost:9443/carbon/admin/login.jsp Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.116 Safari/537.36 0.008
0:0:0:0:0:0:0:1 - - [23/Feb/2020:01:34:29 -0500] GET /carbon/admin/js/csrfPrevention.js HTTP/1.1 200 4370 https://localhost:9443/carbon/admin/login.jsp Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.116 Safari/537.36 0.158
0:0:0:0:0:0:0:1 - - [23/Feb/2020:01:34:29 -0500] POST /carbon/admin/js/csrfPrevention.js HTTP/1.1 200 52 https://localhost:9443/carbon/admin/login.jsp Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.116 Safari/537.36 0.002
0:0:0:0:0:0:0:1 - - [23/Feb/2020:01:34:30 -0500] GET /carbon/styles/images/api-header-region-bg.png HTTP/1.1 200 255 https://localhost:9443/carbon/styles/css/main.css Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.116 Safari/537.36 0.003
0:0:0:0:0:0:0:1 - - [23/Feb/2020:01:34:30 -0500] GET /carbon/styles/images/api-logo.png HTTP/1.1 200 4077 https://localhost:9443/carbon/styles/css/main.css Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.116 Safari/537.36 0.006
0:0:0:0:0:0:0:1 - - [23/Feb/2020:01:34:30 -0500] GET /carbon/styles/images/api-header-back.png HTTP/1.1 200 22845 https://localhost:9443/carbon/styles/css/main.css Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.116 Safari/537.36 0.011
0:0:0:0:0:0:0:1 - - [23/Feb/2020:01:34:30 -0500] GET /carbon/styles/images/api-server-menu-panel-bg.png HTTP/1.1 200 218 https://localhost:9443/carbon/styles/css/main.css Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.116 Safari/537.36 0.012
0:0:0:0:0:0:0:1 - - [23/Feb/2020:01:34:30 -0500] GET /carbon/admin/images/help.gif HTTP/1.1 200 411 https://localhost:9443/carbon/admin/css/global.css Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.116 Safari/537.36 0.001
0:0:0:0:0:0:0:1 - - [23/Feb/2020:01:34:30 -0500] GET /carbon/styles/images/api-server-menu-header.gif HTTP/1.1 200 176 https://localhost:9443/carbon/styles/css/main.css Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.116 Safari/537.36 0.006
